"자치구별(1)",자치구별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"자치구별(1)",자치구별(2),출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수
"합계",종로구,1103,1100,873,905,906,846,689,644,673,529,528
"합계",중구,1105,1215,1022,1041,950,959,808,733,783,690,627
"합계",용산구,2309,2411,2129,1976,1967,1708,1464,1377,1314,1176,1234
"합계",성동구,2776,2835,2838,2654,2753,2531,2462,2346,2191,1945,1833
"합계",광진구,3184,3319,2990,3011,2951,2767,2347,2197,1957,1532,1484
"합계",동대문구,2947,2963,2651,2634,2687,2383,2117,1886,1884,1702,1585
"합계",중랑구,3450,3659,3265,3288,3368,3085,2744,2446,2244,1873,1825
"합계",성북구,4414,4217,3831,3537,3514,3060,2631,2264,2147,2041,1939
"합계",강북구,2789,2818,2491,2360,2164,1965,1772,1344,1227,1049,994
"합계",도봉구,3005,3083,2530,2553,2481,2249,1906,1707,1483,1218,1136
"합계",노원구,5063,5296,4668,4715,4462,4176,3494,2851,2604,2252,2225
"합계",은평구,4318,4654,4157,4085,3870,3522,2930,2703,2407,2144,2076
"합계",서대문구,2368,2470,2358,2334,2175,2201,1911,1647,1521,1533,1426
"합계",마포구,3859,3797,3320,3373,3626,3392,2812,2528,2334,2015,1959
"합계",양천구,3727,3869,3547,3527,3526,3334,2876,2387,2222,1875,1827
"합계",강서구,5753,5875,5224,5424,5812,5456,4800,4260,3841,3345,3006
"합계",구로구,4633,4936,4468,4279,4257,3736,3139,2658,2460,2269,2229
"합계",금천구,1927,2077,1739,1820,1885,1595,1498,1314,1154,1092,1012
"합계",영등포구,4050,4050,3448,3480,3611,3282,2805,2698,2633,2296,2402
"합계",동작구,3837,3883,3712,3765,3643,3184,2814,2417,2227,2044,1831
"합계",관악구,4729,4596,4140,4071,3960,3561,2931,2582,2245,1905,1707
"합계",서초구,4190,4439,4081,4135,4078,3629,3039,2919,2512,2238,2163
"합계",강남구,4761,4903,4551,4654,4595,4122,3456,2940,2749,2356,2204
"합계",송파구,6574,6859,5963,6001,5899,5500,4976,4567,4424,3791,3469
"합계",강동구,4655,4590,4070,4089,3865,3293,2968,2659,2437,2535,2810
