"시점","구분별(1)",구분별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"시점","구분별(1)",구분별(2),0~4세,0~4세,0~4세,0~4세,0~4세,10~14세,10~14세,10~14세,10~14세,10~14세,15~19세,15~19세,15~19세,15~19세,15~19세,20~24세,20~24세,20~24세,20~24세,20~24세,25~29세,25~29세,25~29세,25~29세,25~29세,30~34세,30~34세,30~34세,30~34세,30~34세,35~39세,35~39세,35~39세,35~39세,35~39세,40~44세,40~44세,40~44세,40~44세,40~44세,45~49세,45~49세,45~49세,45~49세,45~49세,50~54세,50~54세,50~54세,50~54세,50~54세,55~59세,55~59세,55~59세,55~59세,55~59세,60~64세,60~64세,60~64세,60~64세,60~64세,65~69세,65~69세,65~69세,65~69세,65~69세,70~74세,70~74세,70~74세,70~74세,70~74세,75~79세,75~79세,75~79세,75~79세,75~79세,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상,80세이상
"시점","구분별(1)",구분별(2),0세,1세,2세,3세,4세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세
"2011","총인구",여자,44506,38830,39057,41344,38602,48244,50076,49787,53092,55728,58198,58266,59805,62324,65749,65090,65004,68116,73024,77605,83304,85621,91641,99029,102996,101091,98277,88090,83424,80531,79834,82984,87868,88591,89764,92043,88429,90558,82750,79619,80259,83687,79753,88799,83824,95116,95069,88797,85554,81398,79257,80673,65305,62448,59954,48355,54115,52330,51992,50627,36849,39234,37360,40419,39692,33454,31212,29913,27042,25735,23786,22214,19214,17387,16074,14020,13357,12495,10755,9369,7866,6571,5692,5551,4285,3488,2583,1832,1459,1182,936,675,404,254,175
"2012","총인구",여자,43584,42509,37757,38063,40302,41663,47972,49920,49619,53038,56153,58973,59183,61042,64262,67661,66277,67325,71296,75153,78799,83741,85022,90498,97056,100656,98385,95745,85571,81153,78703,78119,81206,86365,87510,88757,91476,87928,90158,82340,79152,79854,83262,79109,88203,82733,94569,94028,87309,84445,80324,77725,79492,64392,61363,58851,47658,53412,51399,51282,49976,36232,38650,36876,39950,39149,32989,30789,29404,26524,25253,23249,21643,18726,16835,15503,13413,12687,11885,10101,8677,7214,5890,5088,4980,3717,2925,2113,1453,1191,1012,710,505,295,178
"2013","총인구",여자,42781,41174,40966,36772,37188,38854,41409,47761,49559,49528,52943,56482,59914,60412,62861,66346,69576,68817,70800,74094,76485,79620,83476,83956,88603,94119,97701,95273,92917,82972,78905,76899,76474,79552,85076,86706,87997,90930,87503,89980,82076,78567,79385,82728,78193,87339,81540,93857,93014,85875,83159,79059,76298,78363,63289,60382,57877,46949,52751,50413,50566,49364,35587,38154,36512,39500,38638,32580,30366,28981,25913,24693,22713,21099,18080,16262,14893,12840,12087,11242,9449,8071,6537,5273,4429,4414,3229,2422,1754,1177,981,756,529,365,211
"2014","총인구",여자,39777,40605,39824,39836,36268,38681,38633,41276,47659,49396,49505,52923,56975,61616,62951,65085,68719,73474,72753,74257,76187,77340,79774,82466,81897,86340,91509,94928,92318,90643,80683,77127,75549,75336,78452,84289,86222,87543,90837,87306,90013,82063,78134,79190,82627,77751,87044,80571,93498,92501,84745,82261,77877,74952,77418,62486,59698,57031,46467,52215,49576,49829,48913,34928,37626,36100,39055,38282,32171,29912,28544,25416,24111,22209,20505,17576,15684,14160,12222,11419,10455,8798,7402,5922,4609,3801,3909,2746,1983,1400,1009,753,570,373,241
"2015","총인구",여자,40434,37647,39199,38555,38770,35762,38407,38468,41151,47555,49178,49410,52953,58280,64429,65422,67326,72185,77882,75871,76575,77223,76853,78733,80414,79083,83396,88444,91788,89158,88079,78522,75246,74096,73997,77385,83514,85641,86920,90596,86890,90016,81954,77595,78729,82181,76982,86503,79379,93061,91736,83413,81026,76768,73496,76733,61559,58606,56115,45757,51734,48585,49070,48388,34191,37046,35624,38642,37833,31737,29349,28059,24841,23582,21698,19966,16940,15036,13443,11557,10732,9730,8087,6798,5214,3994,3187,3387,2309,1601,1149,724,546,400,240
"2016","총인구",여자,38729,38081,36102,37674,37463,34081,35452,38145,38216,40906,47090,48717,49612,56797,62876,66511,66734,70813,77074,80663,77021,77038,77213,75961,76901,78144,76540,80485,85500,88461,86160,85356,76244,73447,72341,72673,76367,82372,84571,86073,89739,86099,89141,80978,76719,77692,80956,75796,85290,78052,91520,90157,81821,79411,75177,72095,75295,60247,57387,54945,44612,50532,47387,47955,47252,33330,36091,34674,37514,36852,30793,28448,27096,23917,22603,20709,18997,15974,13946,12439,10569,9755,8675,7141,5831,4485,3303,2608,2698,1870,1210,855,538,400,264
"2017","총인구",여자,33965,36387,36592,34676,36462,35318,33628,35118,37755,37965,40471,46602,48661,53484,62354,65732,68406,70698,75599,80366,82401,77928,77480,76985,74993,75832,76276,74519,78187,82988,85853,83585,82850,74261,71787,70931,71536,75188,81390,83753,85102,88812,85137,88176,80086,75732,76762,79957,74596,83871,76859,90055,88496,80228,77589,74150,70802,73742,58931,56141,53794,43675,49534,46345,46930,46272,32609,35390,33941,36751,35937,30009,27625,26306,23187,21806,19871,18003,15157,13113,11565,9705,8906,7826,6449,5104,3894,2780,2185,2219,1470,904,644,419,284
"2018","총인구",여자,29153,31720,34565,35031,33318,36367,34945,33382,34840,37458,37632,40182,46695,50423,56737,65178,68260,72429,75983,80471,84449,85449,79902,78619,77348,74652,74943,74971,72769,76057,80583,83494,81430,80925,72710,70527,69824,70597,74375,80607,83037,84420,88102,84434,87364,79273,74952,75840,78929,73478,82685,75555,88565,86971,78767,76195,72775,69377,72374,57722,54968,52737,42745,48575,45393,45988,45398,31897,34692,33203,35853,35012,29189,26786,25377,22296,20930,18971,17044,14221,12232,10668,8814,8001,6949,5625,4379,3288,2302,1768,1764,1143,685,474,301
"2019","총인구",여자,26018,27360,30323,33356,33979,33464,36159,34820,33229,34676,37213,37400,40259,48065,53315,59519,67749,72923,78942,82110,85405,88141,88116,81371,78904,77008,73860,73683,73330,70962,74066,78406,81383,79475,79341,71502,69434,68897,69852,73680,79957,82361,83667,87315,83624,86546,78483,74121,74979,78054,72601,81666,74325,87231,85621,77590,75105,71646,68300,71256,56746,54030,51850,42001,47761,44578,45236,44702,31316,34052,32532,35053,34105,28323,25929,24521,21428,19973,18016,16043,13231,11315,9765,7968,7132,6089,4846,3708,2737,1876,1405,1375,869,508,341
"2020","총인구",여자,24641,24559,26135,29188,32324,32441,33191,35987,34655,33051,34432,37010,37681,41678,50636,55574,61346,71099,77704,83369,85564,88004,89881,88965,81392,78244,75893,72419,71939,71403,68953,71991,76351,79516,77834,78007,70497,68597,68211,69292,73148,79387,81711,82926,86508,82822,85778,77768,73396,74168,77163,71599,80595,73216,85974,84476,76529,73965,70522,67145,70127,55779,53131,51034,41213,46912,43752,44396,43916,30651,33300,31712,34113,33122,27409,25007,23555,20455,18938,16946,14976,12241,10358,8845,7117,6269,5263,4115,3091,2237,1500,1093,1049,644,366
"2021","총인구",여자,23205,23335,23558,25206,28286,34374,32199,33053,35840,34496,32842,34252,37267,38910,43996,52939,57574,64682,75763,82105,86781,87984,89558,90613,88926,80717,77093,74435,70730,70036,69465,67037,70085,74562,77953,76517,76947,69692,67954,67702,68846,72666,78841,81068,82169,85716,82059,85034,77072,72698,73387,76270,70594,79597,72225,84912,83451,75486,72909,69469,66059,69092,54901,52297,50264,40475,46108,42976,43570,43100,29951,32494,30847,33113,32079,26446,24023,22510,19403,17822,15822,13869,11224,9397,7921,6270,5432,4481,3438,2530,1792,1173,831,778,464
"2022","총인구",여자,23179,21982,22443,22801,24468,33025,34146,32088,32933,35695,34309,32689,34510,38396,40931,46027,55049,61040,69256,80075,85503,89162,89395,90136,90436,88152,79540,75594,72724,68880,68115,67609,65273,68426,73062,76701,75473,76094,69078,67479,67298,68445,72203,78296,80408,81424,84958,81321,84307,76393,72019,72599,75374,69663,78704,71399,83963,82450,74523,71919,68485,65073,68141,54082,51503,49531,39777,45349,42211,42715,42234,29202,31642,29929,32056,30977,25416,22958,21376,18268,16647,14654,12730,10200,8430,6998,5445,4636,3752,2819,2028,1405,897,615,562
