"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)",자치구별(2),총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계
"자치구별(1)",자치구별(2),소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,83005,42370,40635,48692,24908,23784,28847,14685,14162,5142,2624,2518,324,153,171,75536,38744,36792,44371,22829,21542,26204,13356,12848,4718,2438,2280,243,121,122,65389,33485,31904,38285,19573,18712,22629,11629,11000,4166,2160,2006,309,123,186,58074,30137,27937,35406,18340,17066,19070,9995,9075,3136,1595,1541,462,207,255,53673,27811,25862,33667,17405,16262,17032,8894,8138,2935,1510,1425,39,2,37,47445,24344,23101,30195,15544,14651,14639,7507,7132,2558,1287,1271,53,6,47
"합계",종로구,906,449,457,538,257,281,303,155,148,61,34,27,4,3,1,846,444,402,480,253,227,297,153,144,66,35,31,3,3,-,689,337,352,400,190,210,231,119,112,53,26,27,5,2,3,644,348,296,384,212,172,199,104,95,51,27,24,10,5,5,673,334,339,418,206,212,209,103,106,44,25,19,2,-,2,529,268,261,320,166,154,167,84,83,41,18,23,1,-,1
"합계",중구,950,485,465,608,317,291,279,136,143,58,31,27,5,1,4,959,497,462,591,311,280,297,150,147,69,34,35,2,2,-,808,397,411,491,254,237,265,123,142,46,18,28,6,2,4,733,342,391,457,213,244,224,107,117,34,16,18,18,6,12,783,426,357,513,276,237,228,123,105,42,27,15,-,-,-,690,348,342,467,238,229,194,101,93,28,9,19,1,-,1
"합계",용산구,1967,996,971,1178,585,593,659,344,315,126,65,61,4,2,2,1708,878,830,1042,516,526,584,321,263,77,40,37,5,1,4,1464,745,719,902,448,454,445,237,208,108,57,51,9,3,6,1377,717,660,907,469,438,384,212,172,75,33,42,11,3,8,1314,684,630,884,459,425,348,185,163,77,39,38,5,1,4,1176,611,565,811,410,401,314,172,142,49,29,20,2,-,2
"합계",성동구,2753,1379,1374,1694,847,847,919,457,462,134,73,61,6,2,4,2531,1287,1244,1586,829,757,796,387,409,141,69,72,8,2,6,2462,1265,1197,1517,791,726,833,421,412,103,51,52,9,2,7,2346,1234,1112,1547,804,743,696,374,322,97,54,43,6,2,4,2191,1120,1071,1536,777,759,588,311,277,67,32,35,-,-,-,1945,1009,936,1317,676,641,556,298,258,66,35,31,6,-,6
"합계",광진구,2951,1483,1468,1852,941,911,930,460,470,164,81,83,5,1,4,2767,1411,1356,1711,881,830,919,454,465,134,75,59,3,1,2,2347,1241,1106,1429,746,683,772,418,354,138,73,65,8,4,4,2197,1131,1066,1422,719,703,675,355,320,93,55,38,7,2,5,1957,1022,935,1287,651,636,579,327,252,91,44,47,-,-,-,1532,769,763,971,494,477,492,241,251,69,34,35,-,-,-
"합계",동대문구,2687,1393,1294,1520,801,719,1001,509,492,160,80,80,6,3,3,2383,1185,1198,1354,672,682,865,426,439,161,84,77,3,3,-,2117,1110,1007,1174,607,567,807,423,384,130,78,52,6,2,4,1886,994,892,1100,596,504,673,336,337,111,61,50,2,1,1,1884,943,941,1096,551,545,662,332,330,126,60,66,-,-,-,1702,860,842,1043,529,514,540,277,263,119,54,65,-,-,-
