"동별(1)",동별(2),동별(3),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"동별(1)",동별(2),동별(3),혼인,혼인,혼인,혼인,혼인,혼인,혼인,혼인,혼인,혼인,혼인,혼인
"합계",종로구,소계,1062,1000,877,840,806,760,700,676,590,565,478,486
"합계",종로구,사직동,77,69,53,59,69,40,43,40,35,40,42,43
"합계",종로구,삼청동,23,16,14,21,14,19,16,11,18,22,11,11
"합계",종로구,부암동,57,61,68,37,51,45,34,38,34,34,35,32
"합계",종로구,평창동,100,82,87,93,73,88,61,69,63,58,46,43
"합계",종로구,무악동,39,41,44,26,33,30,24,24,18,18,17,12
"합계",종로구,교남동,54,47,28,27,24,24,63,68,55,47,35,30
"합계",종로구,가회동,26,36,29,42,20,25,20,15,18,11,9,12
"합계",종로구,종로1.2.3.4가동,58,56,54,39,35,35,36,35,25,36,28,18
"합계",종로구,종로5.6가동,40,33,26,29,29,21,20,22,19,23,16,21
"합계",종로구,이화동,72,69,73,59,51,66,56,49,35,32,35,28
"합계",종로구,명륜3가동,37,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,창신1동,99,105,78,98,83,66,46,28,15,23,20,22
"합계",종로구,창신2동,36,32,14,18,26,43,35,29,26,37,21,31
"합계",종로구,창신3동,36,17,25,18,27,23,35,39,30,31,30,32
"합계",종로구,숭인1동,110,103,95,87,70,54,60,50,37,30,18,23
"합계",종로구,숭인2동,32,26,20,11,34,39,40,52,50,34,38,45
"합계",종로구,청운효자동,76,94,66,91,74,63,51,43,50,38,31,35
"합계",종로구,혜화동,90,113,103,85,93,79,60,64,62,51,46,48
"합계",중구,소계,920,1029,860,851,916,799,792,778,722,653,590,511
"합계",중구,소공동,18,17,19,11,14,19,22,20,20,15,11,12
"합계",중구,회현동,33,42,40,29,40,21,29,17,16,18,15,11
"합계",중구,명동,13,25,11,19,12,14,12,15,7,8,6,8
"합계",중구,필동,42,41,43,44,47,45,23,28,18,23,17,13
"합계",중구,장충동,37,31,28,32,26,20,23,26,18,11,21,14
"합계",중구,광희동,30,29,18,12,31,17,18,26,26,29,35,32
"합계",중구,을지로동,13,11,11,8,15,12,6,5,13,13,12,13
"합계",중구,신당1동,262,352,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당2동,111,78,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당3동,80,71,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당4동,30,43,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당5동,20,38,158,224,351,245,78,52,83,75,45,37
"합계",중구,신당6동,24,33,-,-,-,-,-,-,-,-,-,-
"합계",중구,황학동,139,118,95,115,124,114,107,111,123,104,80,77
"합계",중구,중림동,68,100,78,64,71,74,84,106,92,76,70,52
"합계",중구,신당동,-,-,225,183,82,69,80,58,68,63,51,44
"합계",중구,다산동,-,-,45,56,28,56,87,127,88,76,63,46
"합계",중구,약수동,-,-,41,20,31,39,91,82,53,47,65,56
"합계",중구,청구동,-,-,35,22,27,40,85,74,61,63,76,65
"합계",중구,동화동,-,-,13,12,17,14,47,31,36,32,23,31
"합계",용산구,소계,1866,1895,1795,1560,1515,1366,1357,1400,1303,1175,995,948
"합계",용산구,후암동,128,173,153,132,135,110,110,108,95,87,71,65
"합계",용산구,용산2가동,91,91,85,73,64,70,65,65,61,50,60,31
"합계",용산구,남영동,54,53,58,55,64,38,49,38,33,36,26,21
"합계",용산구,원효로2동,100,124,110,78,90,84,87,86,72,70,65,56
"합계",용산구,효창동,99,91,79,62,73,68,68,67,74,63,50,56
"합계",용산구,용문동,127,109,104,88,69,82,68,75,82,64,50,56
"합계",용산구,이촌1동,196,203,180,185,159,142,140,130,126,94,79,65
"합계",용산구,이촌2동,40,62,65,34,53,40,44,58,52,45,35,40
"합계",용산구,이태원1동,74,78,68,78,62,78,49,32,37,36,33,19
"합계",용산구,이태원2동,41,43,60,27,41,19,52,55,41,43,35,42
"합계",용산구,서빙고동,72,62,58,51,58,53,43,57,45,36,31,30
"합계",용산구,보광동,106,90,116,98,111,78,69,66,58,54,54,47
"합계",용산구,청파동,200,198,171,156,128,117,106,119,114,108,79,101
"합계",용산구,원효로1동,160,143,131,143,135,149,139,159,158,131,98,128
"합계",용산구,한강로동,157,165,167,118,124,97,125,151,121,137,126,104
"합계",용산구,한남동,221,210,190,182,149,141,143,134,134,121,103,87
"합계",성동구,소계,2307,2425,2432,2125,2083,1944,2096,2000,1758,1573,1272,1179
"합계",성동구,왕십리2동,122,92,74,83,113,108,174,124,105,110,73,71
"합계",성동구,마장동,200,170,168,158,152,137,122,137,133,109,96,98
"합계",성동구,사근동,66,74,59,70,85,119,127,81,50,72,43,46
"합계",성동구,행당1동,197,191,141,98,97,78,57,90,99,75,51,61
"합계",성동구,행당2동,155,142,191,186,154,84,105,170,153,129,123,100
"합계",성동구,응봉동,136,117,120,99,102,110,103,83,62,63,44,48
"합계",성동구,금호1가동,119,125,110,92,83,59,66,129,85,68,64,48
"합계",성동구,금호4가동,148,160,148,127,109,92,114,110,96,85,58,53
"합계",성동구,성수1가1동,226,222,178,123,167,165,160,137,106,113,83,75
"합계",성동구,성수1가2동,109,105,161,173,132,76,85,101,104,80,46,45
"합계",성동구,성수2가1동,153,175,140,105,155,149,151,117,92,82,78,57
"합계",성동구,성수2가3동,83,75,112,90,91,49,66,97,57,54,48,52
"합계",성동구,송정동,73,80,55,77,85,74,72,54,49,52,48,43
"합계",성동구,용답동,111,108,122,102,112,94,98,73,61,39,48,38
"합계",성동구,왕십리도선동,77,113,109,121,119,115,169,155,144,133,110,112
"합계",성동구,금호2.3가동,139,280,226,199,162,233,176,153,135,145,121,94
"합계",성동구,옥수동,193,196,318,222,165,202,251,189,227,164,138,138
"합계",광진구,소계,2766,2798,2685,2589,2576,2285,2082,2164,1893,1661,1399,1317
"합계",광진구,화양동,156,172,185,147,149,114,108,96,135,108,94,90
"합계",광진구,군자동,181,171,176,163,159,136,121,137,127,92,93,90
"합계",광진구,중곡1동,346,276,218,253,225,181,208,177,137,145,102,96
"합계",광진구,중곡2동,118,169,151,207,200,185,132,143,126,119,95,84
"합계",광진구,중곡3동,104,96,120,117,141,115,101,113,97,82,74,57
"합계",광진구,중곡4동,147,184,207,138,143,161,164,172,135,117,105,83
"합계",광진구,능동,106,128,136,120,149,133,116,128,103,83,66,65
"합계",광진구,구의1동,355,298,282,269,216,232,204,200,163,138,125,119
"합계",광진구,구의2동,112,152,154,193,163,129,108,117,133,103,94,81
"합계",광진구,구의3동,141,185,183,141,201,150,146,195,146,127,117,114
"합계",광진구,광장동,142,142,141,166,127,108,111,109,113,85,78,65
"합계",광진구,자양1동,394,364,249,263,223,217,186,178,148,126,102,101
"합계",광진구,자양2동,153,167,192,204,197,168,140,149,116,112,89,97
"합계",광진구,자양3동,195,173,179,118,165,148,130,145,120,133,99,86
"합계",광진구,자양4동,116,121,112,90,118,108,107,105,94,91,66,89
"합계",동대문구,소계,2344,2302,2327,2123,2159,1796,1657,1747,1613,1524,1228,1201
"합계",동대문구,회기동,94,94,87,90,90,68,39,56,40,42,34,31
"합계",동대문구,휘경1동,141,158,151,178,146,96,74,65,66,65,46,57
"합계",동대문구,휘경2동,156,118,133,63,77,90,78,90,82,79,59,62
"합계",동대문구,청량리동,128,146,118,113,109,91,89,80,80,81,49,46
"합계",동대문구,용신동,262,243,214,228,227,207,201,219,194,165,172,151
"합계",동대문구,제기동,173,192,192,131,150,135,120,114,107,113,79,81
"합계",동대문구,전농1동,154,163,240,229,228,155,147,161,163,128,139,108
"합계",동대문구,전농2동,103,85,119,70,68,57,73,86,60,65,41,50
"합계",동대문구,답십리1동,174,188,179,256,191,146,134,186,165,149,138,135
"합계",동대문구,답십리2동,159,134,153,80,193,164,151,139,179,164,113,104
"합계",동대문구,장안1동,337,328,296,328,309,240,247,236,212,222,163,143
"합계",동대문구,장안2동,127,130,168,81,107,119,110,126,128,136,100,117
"합계",동대문구,이문1동,233,217,200,222,178,165,118,120,76,62,44,55
"합계",동대문구,이문2동,103,106,77,54,86,63,76,69,61,53,51,61
"합계",중랑구,소계,2789,2881,2813,2769,2716,2591,2302,2253,2031,1850,1618,1723
"합계",중랑구,면목2동,550,506,341,301,259,245,275,107,108,96,159,132
"합계",중랑구,면목4동,125,111,146,163,212,170,233,87,67,55,70,63
"합계",중랑구,면목5동,76,74,81,102,108,68,108,35,40,45,58,71
"합계",중랑구,면목7동,113,122,113,135,110,69,61,83,80,104,86,84
"합계",중랑구,상봉1동,180,218,196,168,183,180,167,211,175,172,122,96
"합계",중랑구,상봉2동,75,80,127,130,123,107,96,124,104,133,160,164
"합계",중랑구,중화1동,266,277,208,208,193,213,200,197,181,141,98,87
"합계",중랑구,중화2동,117,112,127,119,146,126,122,108,97,85,95,116
"합계",중랑구,묵1동,317,309,316,250,249,259,233,235,196,191,122,136
"합계",중랑구,묵2동,78,72,102,135,146,124,116,81,94,60,76,85
"합계",중랑구,망우3동,165,195,167,171,120,139,171,64,75,62,60,50
"합계",중랑구,신내1동,241,220,219,183,205,186,146,153,141,141,95,111
"합계",중랑구,신내2동,67,83,113,142,174,130,98,99,100,96,74,80
"합계",중랑구,면목본동,168,229,246,237,175,257,118,351,310,242,140,186
"합계",중랑구,면목3.8동,87,113,122,146,117,123,61,137,100,89,80,92
"합계",중랑구,망우본동,164,160,189,179,196,195,97,181,163,138,123,170
"합계",성북구,소계,3109,2933,2809,2415,2379,2131,1917,1919,1880,1672,1471,1429
"합계",성북구,돈암1동,204,195,205,161,206,174,152,87,70,79,52,53
"합계",성북구,돈암2동,48,23,29,13,25,22,20,77,98,74,68,70
"합계",성북구,안암동,117,115,118,106,91,81,84,90,67,72,48,51
"합계",성북구,보문동,126,114,90,86,88,97,156,113,110,76,60,65
"합계",성북구,정릉1동,308,473,432,425,374,320,297,98,101,75,65,60
"합계",성북구,정릉2동,87,27,36,23,37,42,35,87,94,90,78,76
"합계",성북구,정릉3동,71,33,39,17,20,40,26,65,71,67,69,72
"합계",성북구,정릉4동,100,39,33,27,32,32,33,107,94,92,72,70
"합계",성북구,길음1동,352,303,288,243,223,178,133,137,117,112,85,77
"합계",성북구,길음2동,74,64,49,142,170,147,120,50,101,73,61,77
"합계",성북구,월곡1동,227,219,200,65,48,28,44,126,91,73,74,72
"합계",성북구,월곡2동,115,79,95,81,71,81,65,86,85,86,72,73
"합계",성북구,장위1동,238,284,251,205,195,168,136,89,90,68,83,96
"합계",성북구,장위2동,71,30,42,41,29,38,20,52,64,60,65,56
"합계",성북구,장위3동,57,32,34,31,21,11,21,41,57,76,55,47
"합계",성북구,성북동,124,119,116,103,74,95,78,115,74,72,71,76
"합계",성북구,삼선동,166,191,186,134,172,141,124,120,109,91,78,70
"합계",성북구,동선동,114,98,103,108,110,98,80,74,73,66,56,45
"합계",성북구,종암동,271,237,254,209,203,186,155,167,134,133,115,98
"합계",성북구,석관동,239,258,209,195,190,152,138,138,180,137,144,125
"합계",강북구,소계,2122,2207,1975,1819,1715,1500,1436,1344,1260,1041,891,838
"합계",강북구,번1동,190,190,204,160,172,137,118,113,109,91,69,44
"합계",강북구,번2동,93,102,108,77,79,68,57,59,46,42,45,34
"합계",강북구,번3동,103,92,74,70,80,50,46,58,43,36,45,47
"합계",강북구,수유1동,230,237,191,206,184,150,169,118,133,107,66,66
"합계",강북구,수유2동,130,140,114,142,110,110,107,117,72,53,55,55
"합계",강북구,수유3동,161,165,160,141,144,134,140,126,103,75,87,97
"합계",강북구,삼양동,148,241,195,201,201,190,161,117,113,88,80,64
"합계",강북구,미아동,451,367,273,227,239,186,159,105,90,78,64,64
"합계",강북구,송중동,130,156,128,107,115,87,84,92,131,116,94,87
"합계",강북구,송천동,128,134,126,125,88,109,104,111,101,78,61,73
"합계",강북구,삼각산동,108,135,134,110,92,77,88,107,94,97,60,60
"합계",강북구,우이동,95,112,122,103,97,94,86,96,96,72,79,70
"합계",강북구,인수동,155,136,146,150,114,108,117,125,129,108,86,77
"합계",도봉구,소계,2127,2117,2062,1791,1810,1636,1543,1471,1316,1187,963,940
"합계",도봉구,쌍문1동,219,159,135,125,269,141,130,153,96,89,65,52
"합계",도봉구,쌍문2동,93,117,149,132,103,112,90,85,85,75,64,54
"합계",도봉구,쌍문3동,83,77,113,84,57,76,73,72,63,53,56,50
"합계",도봉구,쌍문4동,64,84,83,51,26,38,48,56,60,53,48,48
"합계",도봉구,방학1동,278,226,199,169,237,116,141,145,101,112,76,74
"합계",도봉구,방학2동,89,137,113,122,86,127,78,67,74,52,62,46
"합계",도봉구,방학3동,85,81,95,90,39,68,99,71,78,61,75,64
"합계",도봉구,창1동,390,315,283,247,240,211,216,196,163,137,72,94
"합계",도봉구,창2동,169,181,185,188,243,187,150,135,134,121,101,106
"합계",도봉구,창3동,81,85,89,92,123,132,80,51,51,45,40,45
"합계",도봉구,창4동,122,180,138,125,81,105,110,96,105,107,80,59
"합계",도봉구,창5동,114,154,171,117,43,54,86,115,119,106,90,93
"합계",도봉구,도봉1동,226,193,164,143,195,172,116,105,86,87,53,56
"합계",도봉구,도봉2동,114,128,145,106,68,97,126,124,101,89,81,99
"합계",노원구,소계,3720,3638,3432,3176,3146,2778,2420,2240,2138,1961,1765,1748
"합계",노원구,월계1동,253,220,200,166,130,226,152,90,106,75,62,78
"합계",노원구,월계2동,189,142,166,206,202,118,86,86,98,102,79,69
"합계",노원구,월계3동,234,271,249,157,167,124,172,193,157,150,126,129
"합계",노원구,공릉2동,329,319,264,210,162,279,243,177,171,166,129,155
"합계",노원구,하계1동,132,141,121,132,69,163,111,76,63,69,67,54
"합계",노원구,하계2동,107,112,95,110,165,51,84,100,69,66,63,74
